Quote ID (Do Not Change),Current Quote Name,New Quote Name (Change this!),Linked Project Name,Linked Project Key
PO-LEGACY-swartzberg-decorative-lighting,General Spec,Swartzberg (Decorative Lighting),Swartzberg (Decorative Lighting),swartzberg-decorative-lighting
PO-LEGACY-tambor-9-design-fee,General Spec,Tambor 9 - Design Fee,Tambor 9 - Design Fee,tambor-9-design-fee
PO-LEGACY-taryn-van-rooyen-general-lightingspike-lights,General Spec,Taryn Van Rooyen (General Lighting)(Spike Lights),Taryn Van Rooyen (General Lighting)(Spike Lights),taryn-van-rooyen-general-lightingspike-lights
PO-LEGACY-the-president-hotel-conference-room-leds,General Spec,The President Hotel (Conference Room LEDs),The President Hotel (Conference Room LEDs),the-president-hotel-conference-room-leds
PO-LEGACY-tim-harbich-facade-led,General Spec,Tim Harbich (Facade Led),Tim Harbich (Facade Led),tim-harbich-facade-led
PO-LEGACY-topat-replacement-fittings-and-led,General Spec,Topat (Replacement Fittings and LED),Topat (Replacement Fittings and LED),topat-replacement-fittings-and-led
PO-LEGACY-topat-replacement-fittings-and-less-led,General Spec,Topat (Replacement Fittings and Less LED),Topat (Replacement Fittings and Less LED),topat-replacement-fittings-and-less-led
PO-LEGACY-topat-simons-town-wall-light-replacement-spares,General Spec,Topat Simons Town (Wall Light) (Replacement Spares),Topat Simons Town (Wall Light) (Replacement Spares),topat-simons-town-wall-light-replacement-spares
PO-LEGACY-twin-towers-picture-light,General Spec,Twin Towers (Picture Light),Twin Towers (Picture Light),twin-towers-picture-light
PO-LEGACY-union-house-art-led-repair,General Spec,Union House Art (LED Repair),Union House Art (LED Repair),union-house-art-led-repair
PO-LEGACY-union-house-consulting-design-fee,General Spec,Union House - Consulting Design fee,Union House - Consulting Design fee,union-house-consulting-design-fee
PO-LEGACY-updated-singita-the-hub-zone-1030626,General Spec,Updated - Singita (The Hub Zone 1)03/06/26,Updated - Singita (The Hub Zone 1)03/06/26,updated-singita-the-hub-zone-1030626
PO-LEGACY-upper-albert-faulty-replacement-spikes,General Spec,Upper Albert (Faulty Replacement Spikes),Upper Albert (Faulty Replacement Spikes),upper-albert-faulty-replacement-spikes
PO-LEGACY-upper-primrose-design-fee,General Spec,Upper Primrose - Design Fee ,Upper Primrose - Design Fee ,upper-primrose-design-fee
PO-LEGACY-van-niekerk-replacement-landscape-drivers,General Spec,Van Niekerk (Replacement Landscape Drivers),Van Niekerk (Replacement Landscape Drivers),van-niekerk-replacement-landscape-drivers
PO-LEGACY-van-ryns-brandy-distillery-tasting-room,General Spec,Van Ryn's Brandy (Distillery & Tasting Room),Van Ryn's Brandy (Distillery & Tasting Room),van-ryns-brandy-distillery-tasting-room
PO-LEGACY-van-ryns-brandy-distillery-tasting-room-joinery-led,General Spec,Van Ryn's Brandy (Distillery & Tasting Room) (Joinery LED),Van Ryn's Brandy (Distillery & Tasting Room) (Joinery LED),van-ryns-brandy-distillery-tasting-room-joinery-led
PO-LEGACY-villa-hk-design-fee,General Spec,Villa HK (Design Fee),Villa HK (Design Fee),villa-hk-design-fee
PO-LEGACY-villa-r11-international-design-fee,General Spec,Villa R11 (International Design Fee),Villa R11 (International Design Fee),villa-r11-international-design-fee
PO-LEGACY-villa-z-design-fee,General Spec,Villa Z (Design Fee),Villa Z (Design Fee),villa-z-design-fee
PO-LEGACY-waters-edge-26-ceiling-step-led-lighting,General Spec,Waters Edge 26 (Ceiling & Step LED Lighting),Waters Edge 26 (Ceiling & Step LED Lighting),waters-edge-26-ceiling-step-led-lighting
PO-LEGACY-waters-edge-26-design-fee,General Spec,Water's Edge 26 (Design Fee),Water's Edge 26 (Design Fee),waters-edge-26-design-fee
PO-LEGACY-waters-edge-26-general-lighting,General Spec,Waters Edge 26 (General Lighting),Waters Edge 26 (General Lighting),waters-edge-26-general-lighting
PO-LEGACY-waters-edge-26-joinery-led,General Spec,Waters Edge 26 (Joinery LED),Waters Edge 26 (Joinery LED),waters-edge-26-joinery-led
PO-LEGACY-waters-edge-28,General Spec,Waters Edge 28,Waters Edge 28,waters-edge-28
PO-LEGACY-watersedge-28-general-lighting,General Spec,WatersEdge 28 (General Lighting),WatersEdge 28 (General Lighting),watersedge-28-general-lighting
PO-LEGACY-waters-edge-28-switching,General Spec,Waters Edge 28 (Switching),Waters Edge 28 (Switching),waters-edge-28-switching
PO-LEGACY-wynand-wilsenach-architects-led-drivers-for-wynand,General Spec,Wynand Wilsenach Architects (LED Drivers For Wynand),Wynand Wilsenach Architects (LED Drivers For Wynand),wynand-wilsenach-architects-led-drivers-for-wynand
PO-LEGACY-wynand-wilsenacht-architects-spike-lights-for-wynand,General Spec,Wynand Wilsenacht Architects (Spike Lights For Wynand),Wynand Wilsenacht Architects (Spike Lights For Wynand),wynand-wilsenacht-architects-spike-lights-for-wynand
